student_id,program,gpa,course_id,course_name,course_level,course_difficulty,attempts,attendance,credit_load,grade,pass_fail
STU-0049,Mining Engineering,2.352,MN201,Introduction to Mining,300,5.98,1,81.2,2,B,1
STU-0480,Mechanical Engineering,2.53,ME301,Machine Design,300,7.34,1,73.9,3,C,1
STU-0145,Geological Engineering,2.356,GL401,Engineering Geology,200,7.42,1,71.0,3,F,0
STU-0027,Mining Engineering,1.923,MN301,Rock Mechanics,300,7.15,1,73.0,3,F,0
STU-0454,Geological Engineering,2.987,MN401,Mine Planning,200,7.53,1,74.9,3,F,0
STU-0218,Geological Engineering,3.398,GL201,Structural Geology,400,6.98,1,79.0,3,B,1
STU-0592,Electrical Engineering,3.194,EE301,Power Systems I,200,8.2,1,69.9,3,A,1
STU-0353,Mining Engineering,2.718,MN401,Mine Planning,400,7.86,3,66.3,3,D,1
STU-0411,Mining Engineering,2.175,MN201,Introduction to Mining,400,6.55,1,84.5,2,C,1
STU-0103,Mining Engineering,2.92,MN201,Introduction to Mining,300,6.26,1,78.8,2,A,1
STU-0322,Mechanical Engineering,2.163,ME401,Finite Element Methods,300,7.78,1,64.9,3,F,0
STU-0301,Mechanical Engineering,2.959,GL401,Engineering Geology,300,7.1,1,78.4,3,A,1
STU-0558,Mining Engineering,2.908,MN201,Introduction to Mining,300,6.79,1,70.8,2,A,1
STU-0283,Electrical Engineering,2.996,EE201,Circuit Theory II,400,6.83,1,90.9,3,A,1
STU-0279,Electrical Engineering,3.026,EE201,Circuit Theory II,200,6.74,1,91.3,3,A,1
STU-0056,Mining Engineering,2.452,MN201,Introduction to Mining,200,6.12,1,100.0,2,B,1
STU-0256,Mining Engineering,3.109,MN401,Mine Planning,300,7.85,1,100.0,3,B,1
STU-0498,Geological Engineering,3.195,GL201,Structural Geology,300,6.41,3,76.6,3,F,0
STU-0282,Mining Engineering,2.559,MN201,Introduction to Mining,200,6.04,1,79.1,2,D,1
STU-0274,Geological Engineering,3.07,GL401,Engineering Geology,400,7.19,1,86.8,3,A,1
STU-0520,Geological Engineering,3.368,GL201,Structural Geology,300,6.16,1,69.9,3,A,1
STU-0367,Mechanical Engineering,2.83,ME201,Thermodynamics I,400,7.3,1,86.6,3,B,1
STU-0030,Electrical Engineering,2.777,EE401,Renewable Energy,200,6.5,1,64.9,3,A,1
STU-0226,Mechanical Engineering,3.532,ME201,Thermodynamics I,200,6.74,1,63.2,3,D,1
STU-0326,Electrical Engineering,2.994,EE301,Power Systems I,300,7.05,1,72.6,3,B,1
STU-0140,Mining Engineering,3.23,MN401,Mine Planning,200,8.24,1,100.0,3,A,1
STU-0202,Mechanical Engineering,2.136,ME401,Finite Element Methods,300,8.32,1,67.4,3,F,0
STU-0463,Mechanical Engineering,2.661,ME301,Machine Design,300,7.08,1,94.4,3,B,1
STU-0510,Mechanical Engineering,2.419,ME301,Machine Design,200,7.61,1,62.8,3,D,1
STU-0523,Electrical Engineering,2.295,EE201,Circuit Theory II,300,6.93,2,92.2,3,D,1
STU-0334,Mechanical Engineering,2.769,EE301,Power Systems I,300,7.71,1,100.0,3,B,1
STU-0450,Geological Engineering,2.631,GL201,Structural Geology,200,6.65,1,91.7,3,F,0
STU-0025,Mining Engineering,2.835,MN201,Introduction to Mining,200,6.6,1,83.5,2,B,1
STU-0584,Geological Engineering,2.353,GL401,Engineering Geology,400,7.69,1,100.0,3,D,1
STU-0185,Electrical Engineering,3.17,EE201,Circuit Theory II,200,7.0,2,79.8,3,D,1
STU-0397,Mining Engineering,2.673,MN301,Rock Mechanics,300,7.2,1,68.0,3,B,1
STU-0260,Geological Engineering,3.139,GL301,Hydrogeology,200,6.56,1,81.3,3,A,1
STU-0548,Electrical Engineering,3.048,EE301,Power Systems I,200,8.06,1,76.5,3,F,0
STU-0287,Mining Engineering,2.171,MN301,Rock Mechanics,300,7.74,1,81.5,3,D,1
STU-0087,Geological Engineering,3.426,GL301,Hydrogeology,200,6.56,1,81.6,3,A,1
STU-0232,Mining Engineering,1.596,MN401,Mine Planning,400,7.62,1,85.3,3,D,1
STU-0234,Mechanical Engineering,2.088,ME401,Finite Element Methods,200,8.21,1,81.8,3,F,0
STU-0216,Mechanical Engineering,2.175,ME301,Machine Design,400,7.1,2,88.4,3,F,0
STU-0572,Mining Engineering,2.396,MN201,Introduction to Mining,300,6.29,1,76.4,2,F,0
STU-0542,Geological Engineering,2.105,GL401,Engineering Geology,200,7.91,1,79.8,3,F,0
STU-0249,Mining Engineering,1.948,MN201,Introduction to Mining,300,6.34,1,79.3,2,C,1
STU-0440,Mechanical Engineering,2.966,ME301,Machine Design,300,7.72,1,78.2,3,A,1
STU-0185,Mining Engineering,3.243,GL401,Engineering Geology,200,7.24,1,90.8,3,A,1
STU-0516,Mining Engineering,3.481,MN401,Mine Planning,400,8.11,1,79.5,3,A,1
STU-0444,Mechanical Engineering,2.756,ME201,Thermodynamics I,200,6.91,1,79.6,3,A,1
STU-0514,Electrical Engineering,2.549,EE301,Power Systems I,300,7.71,1,82.8,3,F,0
STU-0142,Geological Engineering,2.412,GL401,Engineering Geology,300,6.94,1,77.6,3,D,1
STU-0300,Electrical Engineering,2.728,EE401,Renewable Energy,200,6.74,1,72.0,3,A,1
STU-0188,Mechanical Engineering,2.08,GL301,Hydrogeology,300,7.3,1,76.4,3,C,1
STU-0329,Mechanical Engineering,2.542,GL301,Hydrogeology,200,6.67,1,89.1,3,F,0
STU-0111,Geological Engineering,2.386,GL301,Hydrogeology,400,6.66,1,86.1,3,F,0
STU-0409,Mining Engineering,2.477,MN401,Mine Planning,300,8.34,1,100.0,3,C,1
STU-0499,Geological Engineering,2.205,GL401,Engineering Geology,200,6.91,1,93.7,3,F,0
STU-0284,Electrical Engineering,2.197,EE201,Circuit Theory II,200,6.85,1,99.2,3,C,1
STU-0223,Mining Engineering,3.337,MN401,Mine Planning,200,8.05,1,73.2,3,F,0
STU-0584,Mining Engineering,2.9,MN201,Introduction to Mining,200,5.9,1,85.8,2,B,1
STU-0267,Mechanical Engineering,2.285,ME201,Thermodynamics I,200,7.19,1,64.9,3,F,0
STU-0328,Mining Engineering,3.491,MN301,Rock Mechanics,400,7.27,1,92.5,3,A,1
STU-0072,Geological Engineering,2.09,GL201,Structural Geology,300,6.28,1,66.6,3,D,1
STU-0486,Electrical Engineering,3.15,EE401,Renewable Energy,200,6.66,1,70.1,3,A,1
STU-0460,Mining Engineering,2.598,ME401,Finite Element Methods,300,8.24,1,84.2,3,F,0
STU-0575,Mechanical Engineering,2.187,ME201,Thermodynamics I,300,7.02,1,87.5,3,F,0
STU-0250,Electrical Engineering,2.572,EE201,Circuit Theory II,200,6.62,1,85.1,3,D,1
STU-0450,Mechanical Engineering,2.977,ME201,Thermodynamics I,400,6.15,1,82.5,3,A,1
STU-0595,Mining Engineering,2.469,ME301,Machine Design,200,7.63,1,74.8,3,C,1
STU-0356,Mining Engineering,2.952,MN401,Mine Planning,400,8.14,1,80.4,3,B,1
STU-0443,Electrical Engineering,2.108,EE301,Power Systems I,300,7.3,1,78.0,3,F,0
STU-0113,Mining Engineering,2.794,MN201,Introduction to Mining,400,6.59,1,75.6,2,B,1
STU-0098,Geological Engineering,2.745,GL301,Hydrogeology,300,7.32,1,78.2,3,B,1
STU-0298,Mining Engineering,2.774,MN301,Rock Mechanics,300,7.15,1,71.8,3,B,1
STU-0554,Electrical Engineering,3.811,EE301,Power Systems I,300,7.65,1,83.6,3,A,1
STU-0514,Mechanical Engineering,2.381,ME201,Thermodynamics I,300,6.85,1,71.2,3,F,0
STU-0293,Mechanical Engineering,2.449,ME401,Finite Element Methods,400,8.33,1,90.5,3,B,1
STU-0537,Mining Engineering,2.278,MN401,Mine Planning,300,7.5,2,84.7,3,D,1
STU-0145,Mining Engineering,3.432,MN301,Rock Mechanics,200,8.21,1,74.9,3,A,1
STU-0120,Electrical Engineering,2.652,EE301,Power Systems I,200,7.31,1,100.0,3,D,1
STU-0197,Electrical Engineering,2.407,EE201,Circuit Theory II,400,6.42,1,70.5,3,D,1
STU-0192,Mechanical Engineering,2.507,ME201,Thermodynamics I,200,7.43,1,94.7,3,D,1
STU-0229,Geological Engineering,2.834,EE301,Power Systems I,300,7.71,1,91.2,3,B,1
STU-0491,Mining Engineering,2.861,MN201,Introduction to Mining,400,6.08,1,78.1,2,B,1
STU-0403,Electrical Engineering,1.901,EE201,Circuit Theory II,300,6.88,1,94.3,3,F,0
STU-0503,Geological Engineering,2.921,GL201,Structural Geology,300,7.02,1,95.2,3,F,0
STU-0140,Electrical Engineering,3.111,EE301,Power Systems I,300,8.3,1,65.2,3,B,1
STU-0401,Mechanical Engineering,3.846,ME301,Machine Design,200,7.3,1,77.5,3,A,1
STU-0045,Mechanical Engineering,2.841,ME301,Machine Design,300,7.57,1,79.9,3,F,0
STU-0563,Mechanical Engineering,2.316,ME301,Machine Design,400,7.09,1,100.0,3,F,0
STU-0566,Mining Engineering,2.764,MN401,Mine Planning,200,7.54,1,78.7,3,B,1
STU-0286,Mechanical Engineering,3.675,ME301,Machine Design,200,7.73,1,81.3,3,A,1
STU-0416,Mining Engineering,2.639,MN401,Mine Planning,200,7.52,1,80.3,3,C,1
STU-0011,Mining Engineering,2.586,MN401,Mine Planning,200,7.58,1,75.6,3,C,1
STU-0382,Mechanical Engineering,3.346,ME301,Machine Design,200,7.07,1,58.8,3,A,1
STU-0114,Mechanical Engineering,2.453,ME301,Machine Design,300,8.03,1,94.8,3,F,0
STU-0406,Electrical Engineering,2.81,EE301,Power Systems I,300,8.11,1,65.6,3,C,1
STU-0513,Geological Engineering,2.874,GL401,Engineering Geology,400,6.96,1,80.4,3,B,1
STU-0121,Mechanical Engineering,2.727,ME201,Thermodynamics I,300,6.93,1,82.0,3,B,1
STU-0502,Electrical Engineering,2.586,EE201,Circuit Theory II,200,7.18,1,82.4,3,C,1
STU-0307,Electrical Engineering,2.6,EE301,Power Systems I,300,7.81,1,86.0,3,B,1
STU-0058,Geological Engineering,2.183,GL201,Structural Geology,300,6.91,1,85.2,3,B,1
STU-0002,Mechanical Engineering,2.723,ME401,Finite Element Methods,400,8.05,1,83.8,3,B,1
STU-0501,Mechanical Engineering,2.269,ME201,Thermodynamics I,300,7.17,1,82.1,3,D,1
STU-0141,Geological Engineering,3.021,MN401,Mine Planning,300,7.91,1,68.8,3,B,1
STU-0252,Geological Engineering,3.736,GL401,Engineering Geology,300,7.35,1,100.0,3,A,1
STU-0188,Electrical Engineering,2.724,EE401,Renewable Energy,200,6.39,1,67.2,3,B,1
STU-0338,Mining Engineering,2.396,EE201,Circuit Theory II,300,6.49,1,77.1,3,F,0
STU-0280,Electrical Engineering,2.637,EE301,Power Systems I,200,7.49,1,96.7,3,B,1
STU-0200,Electrical Engineering,2.115,EE401,Renewable Energy,300,7.07,1,84.5,3,D,1
STU-0165,Mechanical Engineering,2.901,ME201,Thermodynamics I,300,6.72,1,89.6,3,A,1
STU-0388,Geological Engineering,2.603,GL301,Hydrogeology,300,6.99,1,75.2,3,F,0
STU-0122,Geological Engineering,2.892,GL401,Engineering Geology,200,7.15,1,63.0,3,C,1
STU-0325,Geological Engineering,3.252,GL301,Hydrogeology,300,6.98,1,80.4,3,A,1
STU-0599,Mining Engineering,1.924,MN301,Rock Mechanics,200,7.57,2,93.8,3,F,0
STU-0159,Mining Engineering,2.768,MN401,Mine Planning,200,7.55,1,63.0,3,C,1
STU-0288,Electrical Engineering,2.801,EE201,Circuit Theory II,300,7.6,1,98.6,3,B,1
STU-0131,Mining Engineering,2.69,MN201,Introduction to Mining,200,5.62,1,71.2,2,B,1
STU-0324,Geological Engineering,3.113,GL401,Engineering Geology,300,7.1,1,70.5,3,A,1
STU-0410,Electrical Engineering,3.026,GL201,Structural Geology,200,7.3,1,88.2,3,B,1
STU-0162,Geological Engineering,2.487,GL201,Structural Geology,200,6.23,1,82.0,3,C,1
STU-0258,Mechanical Engineering,2.188,ME401,Finite Element Methods,200,7.88,1,75.1,3,F,0
STU-0317,Mining Engineering,3.086,MN201,Introduction to Mining,300,5.96,1,79.7,2,A,1
STU-0545,Mining Engineering,2.632,MN401,Mine Planning,300,7.66,1,67.4,3,D,1
STU-0369,Electrical Engineering,2.612,EE201,Circuit Theory II,300,7.32,1,100.0,3,F,0
STU-0588,Mining Engineering,2.614,GL201,Structural Geology,300,6.77,1,70.0,3,F,0
STU-0356,Electrical Engineering,3.111,EE301,Power Systems I,200,7.8,1,73.5,3,B,1
STU-0074,Geological Engineering,4.0,GL201,Structural Geology,200,6.7,3,65.4,3,A,1
STU-0077,Geological Engineering,2.932,GL401,Engineering Geology,300,7.06,1,100.0,3,B,1
STU-0395,Mechanical Engineering,2.478,ME401,Finite Element Methods,300,8.25,1,59.0,3,D,1
STU-0449,Electrical Engineering,2.388,EE201,Circuit Theory II,300,7.41,1,76.8,3,F,0
STU-0584,Mechanical Engineering,3.178,ME401,Finite Element Methods,300,8.55,1,79.5,3,A,1
STU-0580,Mining Engineering,2.34,ME201,Thermodynamics I,200,7.24,1,88.4,3,F,0
STU-0107,Geological Engineering,2.167,GL301,Hydrogeology,200,7.07,1,78.3,3,F,0
STU-0189,Electrical Engineering,2.885,EE301,Power Systems I,300,7.06,2,69.6,3,B,1
STU-0397,Mining Engineering,3.301,MN401,Mine Planning,400,6.83,1,92.1,3,A,1
STU-0136,Mining Engineering,2.707,MN301,Rock Mechanics,400,7.67,1,74.4,3,F,0
STU-0576,Mechanical Engineering,2.435,ME301,Machine Design,300,7.72,2,82.4,3,F,0
STU-0159,Mechanical Engineering,2.857,ME401,Finite Element Methods,300,8.46,1,90.4,3,B,1
STU-0086,Mechanical Engineering,2.519,ME301,Machine Design,200,7.41,1,95.3,3,B,1
STU-0583,Electrical Engineering,3.149,EE301,Power Systems I,200,7.43,1,81.1,3,A,1
STU-0261,Mining Engineering,2.464,MN201,Introduction to Mining,400,6.83,1,89.7,2,B,1
STU-0202,Mining Engineering,3.624,MN401,Mine Planning,300,7.57,1,53.7,3,A,1
STU-0229,Mechanical Engineering,3.024,ME301,Machine Design,200,7.49,1,90.1,3,A,1
STU-0450,Mechanical Engineering,2.811,ME201,Thermodynamics I,300,6.94,1,79.1,3,A,1
STU-0062,Electrical Engineering,2.451,EE201,Circuit Theory II,200,7.37,1,92.9,3,D,1
STU-0572,Mining Engineering,1.686,MN201,Introduction to Mining,200,6.04,1,100.0,2,D,1
STU-0174,Electrical Engineering,3.093,EE201,Circuit Theory II,300,7.35,1,76.9,3,A,1
STU-0248,Mining Engineering,3.456,MN301,Rock Mechanics,300,7.67,1,100.0,3,A,1
STU-0288,Mechanical Engineering,3.195,ME201,Thermodynamics I,300,6.43,1,73.3,3,A,1
STU-0558,Electrical Engineering,1.993,EE301,Power Systems I,300,7.67,1,68.6,3,D,1
STU-0357,Electrical Engineering,2.528,EE301,Power Systems I,300,7.29,1,77.5,3,B,1
STU-0475,Geological Engineering,2.52,GL201,Structural Geology,300,7.13,1,52.9,3,D,1
STU-0335,Mining Engineering,2.878,MN401,Mine Planning,400,7.73,1,99.0,3,A,1
STU-0389,Mechanical Engineering,3.396,ME201,Thermodynamics I,300,6.8,1,73.0,3,A,1
STU-0442,Mechanical Engineering,2.209,ME301,Machine Design,300,7.39,1,84.9,3,F,0
STU-0159,Electrical Engineering,3.327,EE201,Circuit Theory II,200,6.7,1,87.4,3,A,1
STU-0368,Mining Engineering,2.665,MN401,Mine Planning,300,7.77,1,91.0,3,C,1
STU-0581,Geological Engineering,3.013,GL401,Engineering Geology,200,7.34,1,57.9,3,B,1
STU-0205,Mining Engineering,2.713,MN401,Mine Planning,200,7.66,1,76.7,3,C,1
STU-0325,Electrical Engineering,2.147,EE301,Power Systems I,200,8.19,1,59.3,3,F,0
STU-0133,Mechanical Engineering,2.101,ME201,Thermodynamics I,200,7.05,2,80.7,3,F,0
STU-0443,Geological Engineering,3.356,GL401,Engineering Geology,300,7.28,1,87.4,3,A,1
STU-0461,Electrical Engineering,2.442,EE401,Renewable Energy,200,7.28,1,85.3,3,F,0
STU-0112,Mechanical Engineering,2.574,ME401,Finite Element Methods,300,7.96,1,79.9,3,B,1
STU-0238,Geological Engineering,2.692,EE401,Renewable Energy,300,7.0,1,70.8,3,C,1
STU-0161,Mining Engineering,2.684,MN301,Rock Mechanics,200,7.74,1,65.6,3,B,1
STU-0596,Mechanical Engineering,2.997,ME201,Thermodynamics I,200,6.56,1,81.8,3,A,1
STU-0035,Electrical Engineering,2.954,EE201,Circuit Theory II,300,6.38,1,79.3,3,A,1
STU-0093,Mining Engineering,3.345,MN301,Rock Mechanics,300,7.31,1,67.7,3,A,1
STU-0266,Mechanical Engineering,3.296,ME401,Finite Element Methods,300,7.74,1,91.3,3,A,1
STU-0318,Mechanical Engineering,2.732,ME301,Machine Design,300,7.49,1,53.7,3,A,1
STU-0311,Mining Engineering,2.524,MN301,Rock Mechanics,300,6.94,2,96.5,3,F,0
STU-0120,Mining Engineering,3.198,MN301,Rock Mechanics,200,7.24,1,85.5,3,A,1
STU-0242,Geological Engineering,2.662,GL401,Engineering Geology,300,7.61,1,96.4,3,A,1
STU-0535,Mechanical Engineering,2.445,ME401,Finite Element Methods,300,8.04,1,100.0,3,B,1
STU-0441,Mechanical Engineering,2.74,ME401,Finite Element Methods,200,7.86,1,81.8,3,A,1
STU-0480,Electrical Engineering,2.816,EE301,Power Systems I,300,7.13,1,59.3,3,A,1
STU-0297,Mechanical Engineering,3.303,ME201,Thermodynamics I,200,6.89,1,65.3,3,A,1
STU-0273,Mechanical Engineering,2.285,ME301,Machine Design,200,7.26,1,63.2,3,D,1
STU-0402,Mechanical Engineering,3.535,ME401,Finite Element Methods,200,8.05,1,91.9,3,A,1
STU-0527,Geological Engineering,2.23,GL301,Hydrogeology,400,6.26,1,69.1,3,F,0
STU-0294,Mechanical Engineering,2.99,ME201,Thermodynamics I,400,6.67,1,70.9,3,A,1
STU-0347,Geological Engineering,2.668,GL401,Engineering Geology,200,7.09,1,100.0,3,B,1
STU-0055,Mining Engineering,2.445,MN301,Rock Mechanics,300,6.8,1,77.4,3,B,1
STU-0015,Geological Engineering,2.541,GL201,Structural Geology,300,6.92,1,66.8,3,C,1
STU-0045,Geological Engineering,2.719,GL201,Structural Geology,300,6.81,1,82.9,3,F,0
STU-0030,Geological Engineering,3.051,GL401,Engineering Geology,200,7.02,1,84.6,3,A,1
STU-0549,Mining Engineering,2.476,MN301,Rock Mechanics,300,7.55,1,76.0,3,C,1
STU-0537,Mining Engineering,2.691,MN301,Rock Mechanics,400,7.34,1,100.0,3,C,1
STU-0557,Mining Engineering,1.782,MN301,Rock Mechanics,200,6.87,2,82.9,3,F,0
STU-0342,Mining Engineering,3.02,MN301,Rock Mechanics,300,7.14,1,71.4,3,A,1
STU-0001,Electrical Engineering,2.591,EE401,Renewable Energy,200,6.97,2,72.6,3,F,0
STU-0134,Geological Engineering,2.448,GL201,Structural Geology,200,6.58,1,93.8,3,D,1
STU-0417,Mechanical Engineering,2.133,ME401,Finite Element Methods,400,8.24,1,83.2,3,C,1
STU-0484,Mechanical Engineering,2.676,ME401,Finite Element Methods,300,7.93,1,77.5,3,F,0
STU-0096,Geological Engineering,2.591,GL401,Engineering Geology,300,6.94,1,80.4,3,F,0
STU-0563,Mechanical Engineering,2.627,ME401,Finite Element Methods,300,7.92,1,89.4,3,F,0
STU-0453,Mining Engineering,2.716,MN401,Mine Planning,200,7.59,1,87.8,3,D,1
STU-0271,Electrical Engineering,3.279,EE401,Renewable Energy,400,7.05,1,96.3,3,A,1
STU-0452,Geological Engineering,2.696,GL401,Engineering Geology,300,7.37,1,76.6,3,B,1
STU-0522,Mining Engineering,2.887,MN401,Mine Planning,200,7.71,1,68.7,3,C,1
STU-0481,Mining Engineering,2.669,MN401,Mine Planning,300,7.78,1,93.9,3,B,1
STU-0539,Electrical Engineering,2.783,EE301,Power Systems I,300,8.22,2,78.2,3,D,1
STU-0378,Mechanical Engineering,2.604,ME301,Machine Design,200,7.33,1,100.0,3,C,1
STU-0078,Mining Engineering,3.01,MN301,Rock Mechanics,300,7.74,1,80.0,3,A,1
STU-0372,Geological Engineering,2.724,GL201,Structural Geology,400,6.64,1,61.8,3,F,0
STU-0164,Mechanical Engineering,2.724,ME201,Thermodynamics I,400,7.11,1,71.3,3,B,1
STU-0267,Mining Engineering,2.779,MN401,Mine Planning,200,7.58,1,54.1,3,F,0
STU-0237,Mining Engineering,2.985,MN401,Mine Planning,300,7.72,1,77.9,3,A,1
STU-0527,Geological Engineering,2.275,MN401,Mine Planning,200,7.22,2,81.4,3,F,0
STU-0160,Electrical Engineering,3.023,EE301,Power Systems I,300,7.9,1,88.5,3,B,1
STU-0058,Geological Engineering,2.281,GL201,Structural Geology,400,6.27,1,71.2,3,F,0
STU-0292,Electrical Engineering,1.82,EE301,Power Systems I,200,7.57,1,84.9,3,F,0
STU-0401,Geological Engineering,2.456,GL301,Hydrogeology,400,6.91,1,59.0,3,C,1
STU-0198,Mining Engineering,2.49,MN301,Rock Mechanics,200,8.14,1,100.0,3,D,1
STU-0282,Geological Engineering,2.254,ME401,Finite Element Methods,300,8.03,1,65.5,3,F,0
STU-0487,Geological Engineering,2.697,GL301,Hydrogeology,200,7.13,1,65.9,3,C,1
STU-0559,Mechanical Engineering,2.844,ME401,Finite Element Methods,200,7.27,1,76.6,3,F,0
STU-0104,Electrical Engineering,3.248,EE201,Circuit Theory II,200,6.84,1,71.8,3,A,1
STU-0168,Mechanical Engineering,3.026,ME301,Machine Design,300,7.45,3,88.0,3,C,1
STU-0347,Mechanical Engineering,2.894,ME401,Finite Element Methods,300,8.2,1,80.9,3,B,1
STU-0111,Electrical Engineering,2.763,EE201,Circuit Theory II,300,6.27,1,80.4,3,D,1
STU-0382,Electrical Engineering,1.866,EE301,Power Systems I,300,7.41,1,82.1,3,F,0
STU-0374,Mining Engineering,2.406,MN201,Introduction to Mining,300,6.43,1,76.4,2,D,1
STU-0577,Geological Engineering,2.982,ME301,Machine Design,300,6.88,1,97.3,3,A,1
STU-0077,Mechanical Engineering,3.091,ME401,Finite Element Methods,200,7.92,1,66.5,3,A,1
STU-0236,Mechanical Engineering,2.515,ME301,Machine Design,300,7.5,1,69.2,3,D,1
STU-0230,Mechanical Engineering,2.322,ME201,Thermodynamics I,400,6.88,1,76.0,3,F,0
STU-0407,Mining Engineering,3.447,MN201,Introduction to Mining,200,6.09,1,82.6,2,F,0
STU-0058,Geological Engineering,2.394,GL301,Hydrogeology,300,7.18,1,62.7,3,C,1
STU-0030,Mining Engineering,1.657,MN201,Introduction to Mining,200,6.28,1,83.8,2,F,0
STU-0262,Geological Engineering,2.661,GL401,Engineering Geology,300,7.13,1,86.8,3,B,1
STU-0121,Geological Engineering,2.956,GL401,Engineering Geology,400,6.9,1,78.7,3,A,1
STU-0002,Mining Engineering,2.991,MN301,Rock Mechanics,200,7.43,1,98.4,3,A,1
STU-0344,Geological Engineering,3.127,EE201,Circuit Theory II,300,6.92,2,89.2,3,B,1
STU-0362,Mechanical Engineering,2.606,ME201,Thermodynamics I,200,7.47,1,99.1,3,C,1
STU-0344,Mechanical Engineering,3.029,ME201,Thermodynamics I,300,6.96,1,79.7,3,A,1
STU-0414,Electrical Engineering,2.668,EE401,Renewable Energy,300,6.75,1,89.1,3,B,1
